data,consumidores,consumo_kw,"temperatura_do_ar___bulbo_seco,_horaria_(c)",temperatura_do_ponto_de_orvalho_(c),temperatura_maxima_na_hora_ant._(aut)_(c),temperatura_minima_na_hora_ant._(aut)_(c),temperatura_orvalho_max._na_hora_ant._(aut)_(c),temperatura_orvalho_min._na_hora_ant._(aut)_(c),temp._ins._(c),temp._max._(c),temp._min._(c)
20221001,9,1581,,,,,,,,,
20200501,1,,,,,,,,,,
20210901,263,71,,,,,,,,,
20120301,476,740,,,,,,,,,
20131001,27,2864,,,,,,,,,
20140401,545013,37442,,,,,,,,,
20230601,5,"9,668",,,,,,,,,
20110301,23833,16643,,,,,,,,,
20160601,6,240,,,,,,,,,
20120901,183309,11216,,,,,,,,,
20210801,577,"48,096",,,,,,,,,
20180501,9,"2952,751",,,,,,,,,
20150401,9593,2641,,,,,,,,,
20240701,1031,"660,214",,,,,,,,,
20110701,135,147,,,,,,,,,
20130801,605925,91231,,,,,,,,,
20150601,21,15,,,,,,,,,
20180901,760,"860,97",,,,,,,,,
20120401,1429,3354,,,,,,,,,
20210301,11470,"2127,463",,,,,,,,,
20201201,87212,"34249,352",,,,,,,,,
20230501,387616,"58976,584",,,,,,,,,
20200601,53,"285,592",,,,,,,,,
20131001,34492,11996,,,,,,,,,
20210201,"2,519","364,089",,,,,,,,,
20120201,8,1,,,,,,,,,
20110201,110,1594793,,,,,,,,,
20181101,686,"914,59",,,,,,,,,
20140601,45,69639,,,,,,,,,
20141201,1,,,,,,,,,,
20210501,72,"203,218",,,,,,,,,
20150601,1989,134,,,,,,,,,
20190701,1,"1160,752",,,,,,,,,
20211101,171,2984,,,,,,,,,
20180601,4,30,,,,,,,,,
20210901,166,"3483,4",,,,,,,,,
20160401,273,414,,,,,,,,,
20170501,40,36,,,,,,,,,
20220301,353,"9024,09",,,,,,,,,
20191001,216,"298,51",,,,,,,,,
20210701,5,116,,,,,,,,,
20220901,264,"15071,16",,,,,,,,,
20230301,88,"831,188",,,,,,,,,
20180601,66,"3577,937",,,,,,,,,
20130601,1502,412,,,,,,,,,
20180701,46,"22985,555",,,,,,,,,
20130901,356820,154319,,,,,,,,,
20230201,57,"3565,373",,,,,,,,,
2024/12/01,,,"21,5","19,6","22,4","21,5","19,9","19,4",,,
20201201,58238,"17608,61",,,,,,,,,
